Id,Rarity Score,Rank,Attribute Count,Punk Type,Full Type,Hair,Eyes,Facial Hair,Blemishes,Neck Accessory,Mouth Prop,Mouth,Nose,Ears
1329,132.84,2308,3,Female,Female-Mid,Blonde Short,Regular Shades,,Mole,,,,,
1330,97.44,5659,1,Male,Male-Light,Police Cap,,,,,,,,
1331,86.68,6870,2,Male,Male-Mid,Peak Spike,,Normal Beard,,,,,,
1332,52.51,9931,2,Female,Female-Dark,Crazy Hair,,,,,,,,Earring
1333,180.2,782,3,Female,Female-Mid,Wild White Hair,Eye Patch,,,Silver Chain,,,,
1334,62.78,9430,2,Male,Male-Light,Mohawk Thin,Eye Patch,,,,,,,
1335,66.92,9083,2,Male,Male-Light,Cap,,Shadow Beard,,,,,,
1336,94.23,6059,3,Male,Male-Light,Frumpy Hair,Horned Rim Glasses,Front Beard,,,,,,
1337,78.23,7914,2,Male,Male-Light,Bandana,,Handlebars,,,,,,
1338,95.4,5907,2,Male,Male-Dark,Shaved Head,,,,,,Smile,,
1339,95.85,5848,3,Female,Female-Dark,Stringy Hair,Green Eye Shadow,,,,,Black Lipstick,,
1340,72.21,8685,2,Female,Female-Light,Mohawk Dark,Clown Eyes Green,,,,,,,
1341,111.21,4101,2,Female,Female-Dark,Wild Blonde,Horned Rim Glasses,,,,,,,
1342,70.27,8866,3,Female,Female-Mid,Messy Hair,,,,,Cigarette,Black Lipstick,,
1343,46.5,9983,2,Male,Male-Dark,Wild Hair,,,,,,,,Earring
1344,75.88,8324,2,Male,Male-Light,Messy Hair,,Mustache,,,,,,
1345,84.55,7124,3,Female,Female-Dark,Stringy Hair,Clown Eyes Blue,,Mole,,,,,
1346,143.69,1710,3,Female,Female-Dark,Wild Blonde,Green Eye Shadow,,,,,Black Lipstick,,
1347,75.94,8321,2,Male,Male-Light,Frumpy Hair,,Goat,,,,,,
1348,117.57,3569,4,Male,Male-Light,Crazy Hair,3D Glasses,Normal Beard Black,,,,,,Earring
1349,76.51,8223,2,Male,Male-Light,Wild Hair,,Mustache,,,,,,
1350,61.52,9577,2,Female,Female-Mid,Stringy Hair,,,,,,Black Lipstick,,
1351,161.75,1136,4,Male,Male-Mid,Knitted Cap,Regular Shades,Mustache,,Silver Chain,,,,
1352,109.79,4267,2,Female,Female-Dark,Half Shaved,Horned Rim Glasses,,,,,,,
1353,60.48,9673,2,Male,Male-Dark,Crazy Hair,Nerd Glasses,,,,,,,
1354,147.86,1533,2,Female,Female-Mid,Pigtails,Regular Shades,,,,,,,
1355,120.86,3318,1,Female,Female-Dark,Blonde Bob,,,,,,,,
1356,73.33,8586,2,Male,Male-Light,Bandana,Eye Mask,,,,,,,
1357,141.68,1818,4,Female,Female-Mid,Straight Hair Dark,Classic Shades,,Mole,,,Hot Lipstick,,
1358,226.32,402,5,Male,Male-Albino,Mohawk,,Shadow Beard,,Gold Chain,Vape,,,Earring
1359,86.69,6867,2,Male,Male-Dark,Headband,,,,,,Smile,,
1360,51.75,9944,2,Male,Male-Light,Stringy Hair,,,,,Cigarette,,,
1361,76.48,8227,2,Male,Male-Dark,Mohawk,3D Glasses,,,,,,,
1362,122.11,3188,2,Male,Male-Mid,Stringy Hair,,,Spots,,,,,
1363,178.35,812,4,Male,Male-Light,Wild Hair,Horned Rim Glasses,Front Beard,Spots,,,,,
1364,143.91,1706,2,Female,Female-Dark,Pink With Hat,,,,,,Hot Lipstick,,
1365,103.96,4984,3,Male,Male-Light,Mohawk Dark,VR,Normal Beard,,,,,,
1366,95.52,5896,4,Male,Male-Albino,Frumpy Hair,Horned Rim Glasses,Shadow Beard,,,,,,Earring
1367,176,844,3,Female,Female-Dark,Mohawk Dark,Welding Goggles,,,,,Purple Lipstick,,
1368,104.02,4980,4,Male,Male-Mid,Knitted Cap,Eye Patch,Normal Beard Black,,,,,,Earring
1369,72.41,8668,2,Female,Female-Mid,Knitted Cap,Clown Eyes Blue,,,,,,,
1370,121.71,3228,4,Male,Male-Light,Messy Hair,,Handlebars,,,Vape,,,Earring
1371,257.21,271,2,Female,Female-Albino,Tiara,Blue Eye Shadow,,,,,,,
1372,105.46,4828,2,Female,Female-Dark,Dark Hair,Horned Rim Glasses,,,,,,,
1373,63.11,9391,3,Male,Male-Light,Frumpy Hair,Classic Shades,,,,,,,Earring
1374,282.81,184,3,Zombie,Zombie,Mohawk Dark,Big Shades,,,,,,,Earring
1375,82.06,7412,3,Male,Male-Mid,Shaved Head,Eye Patch,,,,Cigarette,,,
1376,78.71,7829,3,Male,Male-Dark,Messy Hair,,Luxurious Beard,,,,,,Earring
1377,69.58,8910,3,Female,Female-Light,Mohawk Thin,,,,,Cigarette,Hot Lipstick,,
1378,77.68,8011,2,Male,Male-Dark,Wild Hair,,Chinstrap,,,,,,
1379,98.86,5500,3,Female,Female-Light,Headband,Purple Eye Shadow,,,,,Purple Lipstick,,
1380,121.52,3252,4,Male,Male-Mid,Bandana,Classic Shades,Shadow Beard,,,,Smile,,
1381,78.08,7946,2,Male,Male-Dark,Stringy Hair,,Front Beard,,,,,,
1382,109.53,4310,4,Female,Female-Dark,Stringy Hair,,,,,Cigarette,,Clown Nose,Earring
1383,72.05,8701,2,Male,Male-Albino,Wild Hair,Classic Shades,,,,,,,
1384,52.83,9925,2,Male,Male-Light,Mohawk Thin,,,,,Cigarette,,,
1385,109.64,4293,3,Male,Male-Light,Peak Spike,Small Shades,Goat,,,,,,
1386,141.44,1837,3,Female,Female-Light,Tassle Hat,,,Mole,,,,Clown Nose,
1387,46.32,9989,2,Male,Male-Light,Frumpy Hair,,,,,,,,Earring
1388,106.71,4662,2,Female,Female-Dark,Straight Hair,,,,,,Black Lipstick,,
1389,136.56,2114,3,Female,Female-Light,Straight Hair Blonde,VR,,,,,Black Lipstick,,
1390,130.28,2466,3,Female,Female-Mid,Blonde Bob,Blue Eye Shadow,,,,,,,Earring
1391,124.71,2923,3,Male,Male-Dark,Hoodie,Eye Patch,,,,,,Clown Nose,
1392,64.24,9272,2,Female,Female-Light,Stringy Hair,Classic Shades,,,,,,,
1393,153.09,1366,4,Male,Male-Dark,Mohawk Thin,Big Shades,Normal Beard,,,Medical Mask,,,
1394,63.17,9376,2,Male,Male-Mid,Peak Spike,,,,,Cigarette,,,
1395,77.49,8041,2,Male,Male-Dark,Mohawk,,Luxurious Beard,,,,,,
1396,103.88,5001,3,Male,Male-Mid,Frumpy Hair,,,,Gold Chain,,,,Earring
1397,103.46,5053,3,Male,Male-Dark,Do-rag,Horned Rim Glasses,Mustache,,,,,,
1398,138.19,2023,3,Male,Male-Mid,Bandana,,Shadow Beard,Spots,,,,,
1399,64.44,9244,3,Female,Female-Mid,Wild Hair,,,,,,Black Lipstick,,Earring
1400,128.99,2580,4,Male,Male-Light,Knitted Cap,Eye Mask,Chinstrap,Mole,,,,,
1401,87.1,6823,2,Male,Male-Dark,Peak Spike,,Normal Beard,,,,,,
1402,85.21,7036,3,Male,Male-Light,Knitted Cap,Clown Eyes Blue,Shadow Beard,,,,,,
1403,66.9,9084,2,Male,Male-Dark,Stringy Hair,Small Shades,,,,,,,
1404,90.78,6483,2,Male,Male-Light,Do-rag,,Handlebars,,,,,,
1405,75.75,8337,3,Male,Male-Mid,Mohawk,Clown Eyes Blue,,,,Cigarette,,,
1406,95.42,5905,2,Male,Male-Light,Cap Forward,,Front Beard,,,,,,
1407,100,5398,2,Male,Male-Dark,Mohawk,,,,,Medical Mask,,,
1408,58.57,9806,2,Male,Male-Light,Mohawk,Nerd Glasses,,,,,,,
1409,72.97,8624,2,Male,Male-Mid,Police Cap,,,,,,,,Earring
1410,62.59,9450,2,Female,Female-Mid,Mohawk,,,,,,Black Lipstick,,
1411,109.72,4280,2,Female,Female-Light,Blonde Bob,Regular Shades,,,,,,,
1412,99.94,5403,3,Male,Male-Light,Messy Hair,Small Shades,Chinstrap,,,,,,
1413,71.72,8725,3,Female,Female-Dark,Frumpy Hair,,,,,Cigarette,Black Lipstick,,
1414,118.94,3456,3,Female,Female-Light,Blonde Bob,Clown Eyes Blue,,,,,,,Earring
1415,91.88,6349,3,Female,Female-Dark,Cap,Clown Eyes Blue,,,,,Black Lipstick,,
1416,59.14,9774,3,Male,Male-Light,Stringy Hair,,,Mole,,,,,Earring
1417,64.59,9239,2,Female,Female-Dark,Stringy Hair,Classic Shades,,,,,,,
1418,93.68,6118,3,Female,Female-Albino,Frumpy Hair,Regular Shades,,,,,Black Lipstick,,
1419,71.08,8797,2,Male,Male-Albino,Frumpy Hair,Big Shades,,,,,,,
1420,141.46,1835,3,Female,Female-Mid,Blonde Bob,Blue Eye Shadow,,,,,Purple Lipstick,,
1421,97.71,5626,2,Male,Male-Light,Purple Hair,Big Shades,,,,,,,
1422,112.81,3964,3,Male,Male-Light,Hoodie,Clown Eyes Blue,,,,Pipe,,,
1423,67.54,9048,2,Male,Male-Light,Mohawk Thin,Small Shades,,,,,,,
1424,106.33,4712,4,Male,Male-Mid,Headband,Nerd Glasses,Goat,,,Cigarette,,,
1425,163.01,1107,3,Male,Male-Mid,Vampire Hair,,Chinstrap,,,,Smile,,
1426,117.88,3544,2,Female,Female-Albino,Stringy Hair,,,,,Medical Mask,,,
1427,55.25,9899,2,Female,Female-Light,Bandana,,,,,Cigarette,,,
1428,126.28,2781,2,Female,Female-Light,Blonde Short,Clown Eyes Blue,,,,,,,
1429,91.36,6407,2,Male,Male-Dark,Peak Spike,,,,,,Frown,,
1430,111.76,4051,4,Male,Male-Dark,Do-rag,Horned Rim Glasses,Chinstrap,,,,,,Earring
1431,108.49,4434,3,Male,Male-Dark,Mohawk,Eye Mask,Luxurious Beard,,,,,,
1432,70.44,8851,2,Male,Male-Light,Do-rag,Big Shades,,,,,,,
1433,268.37,232,2,Female,Female-Mid,Pilot Helmet,,,,Gold Chain,,,,
1434,116.36,3687,3,Female,Female-Dark,Straight Hair Blonde,Eye Patch,,,,,,,Earring
1435,107.67,4544,4,Male,Male-Mid,Headband,Clown Eyes Green,Muttonchops,,,,,,Earring
1436,58.49,9810,2,Male,Male-Dark,Mohawk,,,Mole,,,,,
1437,75.69,8349,2,Male,Male-Light,Wild Hair,,Goat,,,,,,
1438,237.46,346,1,Female,Female-Mid,Pilot Helmet,,,,,,,,
1439,113.43,3915,4,Male,Male-Mid,Stringy Hair,3D Glasses,Muttonchops,,,,,,Earring
1440,48.34,9969,2,Male,Male-Mid,Headband,,,,,,,,Earring
1441,100.72,5328,4,Female,Female-Dark,Frumpy Hair,Eye Mask,,,,,Purple Lipstick,,Earring
1442,83.51,7256,3,Female,Female-Dark,Crazy Hair,Eye Mask,,,,,,,Earring
1443,73.37,8583,2,Male,Male-Mid,Cap,Small Shades,,,,,,,
1444,63.22,9369,2,Female,Female-Mid,Bandana,Classic Shades,,,,,,,
1445,82.52,7365,2,Male,Male-Mid,Headband,,Front Beard Dark,,,,,,
1446,145.02,1656,2,Female,Female-Dark,Pigtails,,,,,,Hot Lipstick,,
1447,140.47,1894,4,Male,Male-Albino,Hoodie,Eye Patch,,,,Cigarette,Frown,,
1448,100.91,5310,3,Male,Male-Light,Frumpy Hair,VR,,,,Pipe,,,
1449,62.55,9455,2,Female,Female-Dark,Bandana,Big Shades,,,,,,,
1450,93.22,6172,3,Female,Female-Mid,Mohawk Dark,3D Glasses,,,,,Hot Lipstick,,
1451,61.28,9599,3,Male,Male-Light,Bandana,Classic Shades,,,,,,,Earring
1452,81.17,7512,4,Female,Female-Mid,Bandana,,,Mole,,,Purple Lipstick,,Earring
1453,129.91,2498,3,Female,Female-Mid,Blonde Bob,Clown Eyes Blue,,,,,Purple Lipstick,,
1454,96.03,5823,2,Female,Female-Light,Red Mohawk,,,,,,,,Earring
1455,131.82,2361,4,Female,Female-Mid,Wild Blonde,Regular Shades,,,,,Purple Lipstick,,Earring
1456,60.03,9713,2,Male,Male-Mid,Headband,,,Mole,,,,,
1457,72.98,8621,3,Female,Female-Light,Mohawk Thin,Regular Shades,,,,Cigarette,,,
1458,65.74,9152,3,Male,Male-Dark,Peak Spike,,,,,Cigarette,,,Earring
1459,90.9,6462,3,Male,Male-Dark,Messy Hair,Nerd Glasses,Luxurious Beard,,,,,,
1460,75.12,8421,2,Male,Male-Light,Messy Hair,3D Glasses,,,,,,,
1461,115.34,3776,2,Female,Female-Dark,Straight Hair,Clown Eyes Blue,,,,,,,
1462,150.01,1456,4,Male,Male-Albino,Headband,Eye Patch,Big Beard,,,,,,Earring
1463,55.41,9897,3,Male,Male-Dark,Mohawk Thin,,,,,Cigarette,,,Earring
1464,68.72,8981,2,Male,Male-Light,Do-rag,,,Mole,,,,,
1465,69.32,8932,3,Male,Male-Mid,Mohawk Dark,Regular Shades,,,,Cigarette,,,
1466,66.2,9123,2,Male,Male-Mid,Stringy Hair,Clown Eyes Green,,,,,,,
1467,81.78,7450,2,Female,Female-Mid,Wild Hair,Green Eye Shadow,,,,,,,
1468,105.86,4778,2,Female,Female-Light,Straight Hair Dark,,,,,,Hot Lipstick,,
1469,90.29,6537,3,Male,Male-Dark,Stringy Hair,Regular Shades,Muttonchops,,,,,,
1470,175.01,870,3,Female,Female-Light,Mohawk Thin,Welding Goggles,,,,,Purple Lipstick,,
1471,89.15,6658,2,Female,Female-Dark,Cap,Blue Eye Shadow,,,,,,,
1472,91.15,6440,2,Male,Male-Light,Hoodie,Eye Mask,,,,,,,
1473,79.2,7739,3,Male,Male-Dark,Messy Hair,,Chinstrap,,,,,,Earring
1474,127.66,2676,3,Male,Male-Mid,Peak Spike,Big Shades,,,Gold Chain,,,,
1475,77.45,8055,3,Female,Female-Mid,Mohawk,VR,,,,,,,Earring
1476,121.8,3219,3,Female,Female-Dark,Dark Hair,,,,,Pipe,,,Earring
1477,109.58,4300,3,Female,Female-Mid,Straight Hair,Big Shades,,,,,,,Earring
1478,281.05,196,2,Zombie,Zombie,Wild Hair,,Shadow Beard,,,,,,
1479,77,8136,2,Female,Female-Light,Crazy Hair,VR,,,,,,,
1480,99.8,5421,3,Male,Male-Light,Stringy Hair,Small Shades,Chinstrap,,,,,,
1481,121.29,3275,2,Male,Male-Light,Mohawk Dark,,,Rosy Cheeks,,,,,
1482,53.26,9917,2,Male,Male-Dark,Mohawk,,,,,Cigarette,,,
1483,188.07,694,3,Male,Male-Albino,Top Hat,3D Glasses,,,,,Frown,,
1484,98.21,5566,3,Male,Male-Light,Hoodie,,Handlebars,,,,,,Earring
1485,91.88,6350,3,Female,Female-Dark,Cap,Purple Eye Shadow,,,,,,,Earring
1486,90.67,6500,3,Male,Male-Mid,Mohawk Thin,Big Shades,Muttonchops,,,,,,
1487,62.54,9457,2,Female,Female-Mid,Frumpy Hair,,,,,,Black Lipstick,,
1488,86.71,6864,2,Male,Male-Light,Shaved Head,3D Glasses,,,,,,,
1489,114.88,3819,3,Female,Female-Light,Wild White Hair,,,,,,Purple Lipstick,,Earring
1490,75.25,8394,3,Male,Male-Mid,Cap,Clown Eyes Green,,,,,,,Earring
1491,129.82,2504,3,Female,Female-Mid,Clown Hair Green,Blue Eye Shadow,,,,,,,Earring
1492,164.16,1080,3,Male,Male-Light,Police Cap,VR,Big Beard,,,,,,
1493,204.16,580,5,Female,Female-Dark,Blonde Bob,Regular Shades,,Mole,,Cigarette,Hot Lipstick,,
1494,132.01,2344,3,Female,Female-Mid,Wild White Hair,Eye Patch,,,,,Black Lipstick,,
1495,101.99,5215,2,Female,Female-Light,Dark Hair,,,,,,Hot Lipstick,,
1496,216.3,482,2,Female,Female-Mid,Blonde Short,Welding Goggles,,,,,,,
1497,64.46,9242,3,Male,Male-Mid,Knitted Cap,,Shadow Beard,,,,,,Earring
1498,68.07,9017,3,Female,Female-Dark,Crazy Hair,Big Shades,,,,,,,Earring
1499,124.66,2931,2,Male,Male-Light,Crazy Hair,,,Spots,,,,,
1500,60.97,9631,2,Female,Female-Light,Mohawk Thin,,,,,,Hot Lipstick,,
1501,87.7,6774,2,Male,Male-Mid,Police Cap,,Shadow Beard,,,,,,
1502,85.88,6961,2,Male,Male-Light,Shaved Head,Eye Mask,,,,,,,
1503,79.05,7773,3,Male,Male-Dark,Headband,Horned Rim Glasses,Shadow Beard,,,,,,
1504,103.87,5002,4,Female,Female-Mid,Frumpy Hair,Green Eye Shadow,,,,,Black Lipstick,,Earring
1505,81.44,7490,3,Male,Male-Dark,Knitted Cap,VR,,,,Cigarette,,,
1506,146.22,1600,3,Male,Male-Dark,Peak Spike,,Handlebars,,,Medical Mask,,,
1507,134.64,2211,3,Male,Male-Dark,Cowboy Hat,,,,,,Smile,,Earring
1508,291.12,162,4,Female,Female-Light,Mohawk Dark,Horned Rim Glasses,,,Choker,,Black Lipstick,,
1509,102.24,5188,3,Male,Male-Mid,Peak Spike,Nerd Glasses,Chinstrap,,,,,,
1510,81.87,7436,2,Male,Male-Light,Cap,3D Glasses,,,,,,,
1511,75.06,8430,2,Male,Male-Light,Messy Hair,,Goat,,,,,,
1512,62.72,9437,2,Female,Female-Dark,Mohawk Thin,,,Mole,,,,,
1513,195.15,643,4,Female,Female-Light,Frumpy Hair,Welding Goggles,,Mole,,,Black Lipstick,,
1514,159.75,1188,3,Female,Female-Dark,Pink With Hat,Regular Shades,,,,,Hot Lipstick,,
1515,108.19,4468,3,Male,Male-Mid,Mohawk Dark,VR,Front Beard Dark,,,,,,
1516,59.25,9767,2,Male,Male-Light,Knitted Cap,,,Mole,,,,,
1517,70.9,8805,3,Male,Male-Mid,Knitted Cap,Small Shades,,,,,,,Earring
1518,95.23,5929,3,Male,Male-Dark,Knitted Cap,Classic Shades,Mustache,,,,,,
1519,81.27,7504,1,Male,Male-Albino,Messy Hair,,,,,,,,
1520,127.56,2682,3,Female,Female-Light,Mohawk Dark,Clown Eyes Green,,,,Medical Mask,,,
1521,78.3,7901,2,Male,Male-Light,Crazy Hair,,Mustache,,,,,,
1522,129.82,2505,3,Male,Male-Light,Purple Hair,Classic Shades,Muttonchops,,,,,,
1523,166.48,1028,2,Female,Female-Mid,Pigtails,Blue Eye Shadow,,,,,,,
1524,46.75,9982,2,Male,Male-Dark,Frumpy Hair,,,,,,,,Earring
1525,109.13,4357,3,Male,Male-Albino,Bandana,Small Shades,Normal Beard,,,,,,
1526,346.38,71,3,Zombie,Zombie,Cap,Eye Patch,,,Gold Chain,,,,
1527,122.35,3161,3,Female,Female-Dark,Half Shaved,,,Mole,,,Black Lipstick,,
1528,110.93,4132,3,Male,Male-Dark,Bandana,3D Glasses,Front Beard Dark,,,,,,
1529,138.71,1996,2,Female,Female-Albino,Red Mohawk,,,,,Pipe,,,
1530,75.32,8387,2,Male,Male-Albino,Knitted Cap,Eye Patch,,,,,,,
1531,70.4,8857,2,Male,Male-Mid,Peak Spike,Regular Shades,,,,,,,
1532,58.57,9807,2,Male,Male-Light,Mohawk Thin,Nerd Glasses,,,,,,,
1533,54.8,9904,2,Male,Male-Mid,Headband,,,,,Cigarette,,,
1534,108.19,4469,3,Male,Male-Mid,Bandana,,Muttonchops,,,Vape,,,
1535,108.84,4401,3,Female,Female-Dark,Dark Hair,Classic Shades,,,,,,,Earring
1536,204.11,581,3,Male,Male-Mid,Crazy Hair,,Normal Beard,,,,Buck Teeth,,
1537,116.64,3660,1,Male,Male-Dark,Vampire Hair,,,,,,,,
1538,84.78,7084,3,Male,Male-Light,Cap,,Mustache,,,,,,Earring
1539,61.02,9621,2,Male,Male-Mid,Mohawk Thin,Classic Shades,,,,,,,
1540,54.03,9912,2,Male,Male-Mid,Knitted Cap,,,,,Cigarette,,,
1541,108.05,4493,3,Male,Male-Light,Crazy Hair,,Mustache,,,Pipe,,,
1542,77.49,8042,2,Male,Male-Dark,Mohawk Thin,,Luxurious Beard,,,,,,
1543,86.31,6918,2,Male,Male-Dark,Do-rag,Eye Mask,,,,,,,
1544,148.9,1492,4,Female,Female-Dark,Half Shaved,Green Eye Shadow,,,,,Purple Lipstick,,Earring
1545,64.04,9289,2,Female,Female-Light,Frumpy Hair,Big Shades,,,,,,,
1546,106.29,4727,3,Male,Male-Light,Peak Spike,Regular Shades,Handlebars,,,,,,
1547,310.43,108,2,Female,Female-Dark,Blonde Short,,,,Choker,,,,
1548,64.37,9258,3,Female,Female-Dark,Mohawk Thin,,,,,,Purple Lipstick,,Earring
1549,87.56,6788,1,Male,Male-Mid,Cap Forward,,,,,,,,
1550,62.84,9421,2,Female,Female-Mid,Knitted Cap,,,,,,Purple Lipstick,,
1551,57.03,9869,2,Male,Male-Light,Shaved Head,,,,,,,,Earring
1552,105.17,4866,2,Female,Female-Mid,Dark Hair,Regular Shades,,,,,,,
1553,65.31,9183,3,Male,Male-Light,Peak Spike,,,,,Cigarette,,,Earring
1554,130.13,2477,3,Female,Female-Mid,Tassle Hat,,,,,Vape,Purple Lipstick,,
1555,107.92,4513,2,Male,Male-Mid,Fedora,,Mustache,,,,,,
1556,148.08,1526,3,Female,Female-Dark,Pigtails,,,,,,Purple Lipstick,,Earring
1557,76.3,8265,2,Male,Male-Mid,Knitted Cap,,Muttonchops,,,,,,
1558,122.32,3163,1,Male,Male-Dark,,,Normal Beard Black,,,,,,
1559,115.75,3755,1,Male,Male-Light,Clown Hair Green,,,,,,,,
1560,84.44,7140,2,Male,Male-Dark,Wild Hair,,,,,,Smile,,
1561,127.61,2679,4,Female,Female-Dark,Clown Hair Green,,,Mole,,,Hot Lipstick,,Earring
1562,112.34,4000,1,Male,Male-Mid,,Clown Eyes Blue,,,,,,,
1563,114.39,3858,3,Female,Female-Mid,Dark Hair,Clown Eyes Blue,,,,,,,Earring
1564,99.69,5433,2,Male,Male-Dark,Wild Hair,,,,,Medical Mask,,,
1565,79.81,7666,2,Male,Male-Light,Wild Hair,,Handlebars,,,,,,
1566,92.46,6270,3,Female,Female-Mid,Headband,,,,,Pipe,Hot Lipstick,,
1567,117.66,3561,3,Male,Male-Mid,Shaved Head,Eye Mask,Goat,,,,,,
1568,116.23,3704,3,Male,Male-Dark,Hoodie,Clown Eyes Green,Mustache,,,,,,
1569,65.16,9195,3,Female,Female-Light,Mohawk Dark,,,Mole,,,,,Earring
1570,93.04,6194,3,Male,Male-Dark,Headband,Horned Rim Glasses,Muttonchops,,,,,,
1571,97.26,5680,2,Male,Male-Mid,Cap Forward,,Front Beard Dark,,,,,,
1572,100.33,5368,3,Male,Male-Dark,Crazy Hair,Small Shades,Muttonchops,,,,,,
1573,79.36,7718,2,Female,Female-Albino,Crazy Hair,,,,,,Black Lipstick,,
1574,86.71,6865,2,Male,Male-Light,Do-rag,3D Glasses,,,,,,,
1575,113.65,3899,3,Male,Male-Mid,Shaved Head,VR,Goat,,,,,,
1576,83.49,7259,2,Male,Male-Mid,Hoodie,Small Shades,,,,,,,
1577,121.66,3235,2,Male,Male-Dark,Clown Hair Green,,Normal Beard,,,,,,
1578,260.99,260,4,Female,Female-Mid,Dark Hair,Blue Eye Shadow,,Rosy Cheeks,,Medical Mask,,,
1579,254.58,279,2,Female,Female-Albino,Tiara,3D Glasses,,,,,,,
1580,90.25,6540,3,Male,Male-Dark,Messy Hair,Classic Shades,,,,Pipe,,,
1581,74.59,8476,2,Male,Male-Dark,Messy Hair,,Muttonchops,,,,,,
1582,74.36,8500,2,Female,Female-Mid,Messy Hair,VR,,,,,,,
1583,106.14,4749,2,Female,Female-Mid,Straight Hair,,,,,,Black Lipstick,,
1584,125.9,2808,2,Male,Male-Dark,Vampire Hair,,Handlebars,,,,,,
1585,114.59,3845,3,Male,Male-Light,Shaved Head,Small Shades,,,,,Frown,,
1586,61.26,9607,2,Male,Male-Light,Crazy Hair,Horned Rim Glasses,,,,,,,
1587,78.48,7871,2,Female,Female-Light,Bandana,3D Glasses,,,,,,,
1588,104.94,4894,2,Female,Female-Light,Tassle Hat,Clown Eyes Blue,,,,,,,
1589,108.65,4416,2,Male,Male-Mid,Fedora,,Chinstrap,,,,,,
1590,145.38,1639,3,Male,Male-Mid,Vampire Hair,Small Shades,Normal Beard Black,,,,,,
1591,90.24,6543,1,Female,Female-Albino,Mohawk Thin,,,,,,,,
1592,59.2,9772,2,Male,Male-Light,Mohawk Dark,Nerd Glasses,,,,,,,
1593,107,4635,2,Female,Female-Mid,Red Mohawk,,,,,,Purple Lipstick,,
1594,76.63,8206,2,Male,Male-Light,Mohawk Dark,,Goat,,,,,,
1595,118.56,3480,2,Female,Female-Dark,Straight Hair Blonde,Clown Eyes Blue,,,,,,,
1596,139.29,1965,3,Female,Female-Light,Blonde Short,Green Eye Shadow,,,,,,,Earring
1597,86.41,6902,2,Male,Male-Albino,Messy Hair,,Goat,,,,,,
1598,137.74,2047,4,Female,Female-Dark,Tassle Hat,Blue Eye Shadow,,,,,Purple Lipstick,,Earring
1599,92.34,6289,4,Female,Female-Light,Mohawk Thin,Clown Eyes Blue,,,,,Purple Lipstick,,Earring
1600,184.25,740,3,Male,Male-Dark,Vampire Hair,,Goat,,Silver Chain,,,,
1601,62.21,9496,2,Male,Male-Mid,Knitted Cap,Classic Shades,,,,,,,
1602,94.98,5959,3,Male,Male-Dark,Mohawk Thin,Eye Patch,Goat,,,,,,
1603,242.71,322,2,Female,Female-Light,Tiara,Purple Eye Shadow,,,,,,,
1604,76.64,8203,3,Female,Female-Mid,Wild Hair,Nerd Glasses,,,,,Black Lipstick,,
1605,196.91,631,5,Male,Male-Dark,Shaved Head,VR,Shadow Beard,,,,Frown,,Earring
1606,203.14,585,5,Male,Male-Light,Police Cap,Nerd Glasses,Front Beard Dark,Mole,,Cigarette,,,
1607,84.24,7170,3,Male,Male-Mid,Headband,,Handlebars,,,,,,Earring
1608,157.03,1255,4,Male,Male-Mid,Cowboy Hat,Eye Patch,Normal Beard Black,,,Cigarette,,,
1609,224.38,420,2,Female,Female-Light,Pilot Helmet,,,,,,Purple Lipstick,,
1610,80.68,7564,2,Male,Male-Dark,Wild Hair,,Front Beard Dark,,,,,,
1611,71.64,8735,2,Male,Male-Dark,Mohawk Thin,VR,,,,,,,
1612,121.4,3264,2,Female,Female-Albino,Half Shaved,,,,,,Hot Lipstick,,
1613,57.37,9857,3,Male,Male-Dark,Headband,,,,,Cigarette,,,Earring
1614,82.22,7395,3,Male,Male-Light,Frumpy Hair,,Handlebars,,,,,,Earring
1615,93.49,6139,2,Male,Male-Light,Hoodie,,Chinstrap,,,,,,
1616,60.71,9656,2,Female,Female-Mid,Bandana,,,,,,Black Lipstick,,
1617,91.64,6373,2,Male,Male-Dark,Do-rag,,Front Beard Dark,,,,,,
1618,99.04,5484,3,Female,Female-Albino,Frumpy Hair,Clown Eyes Green,,,,,Hot Lipstick,,
1619,81,7528,2,Female,Female-Mid,Stringy Hair,Green Eye Shadow,,,,,,,
1620,100.55,5348,3,Female,Female-Mid,,Clown Eyes Blue,,,,Cigarette,,,Earring
1621,116.66,3656,3,Female,Female-Dark,Clown Hair Green,,,,,Cigarette,Black Lipstick,,
1622,63.84,9311,3,Male,Male-Dark,Knitted Cap,Regular Shades,,,,,,,Earring
1623,123.91,3010,2,Female,Female-Light,Straight Hair,3D Glasses,,,,,,,
1624,101.8,5230,4,Male,Male-Mid,Bandana,Eye Patch,Chinstrap,,,,,,Earring
1625,64.31,9268,2,Male,Male-Dark,Cap,,,Mole,,,,,
1626,92.55,6256,3,Female,Female-Mid,Messy Hair,3D Glasses,,,,,Purple Lipstick,,
1627,103.29,5069,2,Male,Male-Mid,Police Cap,,Normal Beard Black,,,,,,
1628,59.68,9743,2,Female,Female-Mid,Stringy Hair,,,,,,Hot Lipstick,,
1629,145.4,1638,2,Female,Female-Light,Pink With Hat,,,,,,Black Lipstick,,
1630,136.74,2102,2,Male,Male-Albino,Top Hat,,Shadow Beard,,,,,,
1631,105.48,4825,2,Male,Male-Albino,Police Cap,Small Shades,,,,,,,
