Id,Rarity Score,Rank,Background,Body,Shield,Weapon,Mouth,Eyes,Backpack,Headpiece
2009,402.04,43,Solid-Green,Strong-Cheese,Apple-green,Rupee-Green,Bubble-gum,Regular,New-Zealand,Agent-black
2010,151.02,634,Solid-Pink,Original-Cheese,SNES-controller,Torch,Smirk,Shut-4,Jetpack-Blue,Straw-hat
2011,227.55,268,Solid-Green,Blue-Cheese,Apple-red,Baseball-bat,Happy-open,Looking-Up-Left,Jetpack-Orange,Crown
2012,253.75,203,Solid-Pink,Original-Cheese,Teddy,Magic-mushroom,Closed-mouth,Round-glasses,Canada,Police-hat
2013,93.01,1034,Solid-Blue,Original-Cheese,,Gun-red,Doinker-happy,Happy,El-Salvador,
2014,213.4,324,Solid-Blue,Cheese-on-a-Stick,Shield-tower,Rupee-Blue,Tongue,Shut-4,,Oriental-hat
2015,156.51,590,Solid-Pink,Original-Cheese,Shield-tower,Pitchfork,Happy-open,Dilated,Bomb-bag,Pink-punk
2016,334.45,82,Solid-Blue,Original-Cheese,Card-clubs,Rupee-Purple,Smirk,Round-glasses,Italy,
2017,199.19,366,Solid-Yellow,Cheese-on-a-Stick,Apple-green,Middle-finger,Doinker,Dilated,Canada,Stovepipe
2018,318.37,101,Solid-Black,Original-Cheese,,Axe,Open-mouth,Regular,Jetpack-Blue,Agent-black
2019,146.87,656,Solid-Pink,Original-Cheese,Heart,Torch,Open-mouth,Sunglasses,Bomb-bag,Agent-black
2020,159.79,569,Solid-Blue,Cheese-on-a-Stick,Apple-red,Axe,Closed-mouth,Regular,Fork,
2021,234.11,247,Gradient5,Cheese-on-a-Stick,Drink-orange,Ice-cream,Smile,Happy,Fork,Flower
2022,213.37,325,Solid-Blue,Original-Cheese,Apple-green,Balloons,Doinker,Not-Super-Clever,Sweden,Viking
2023,243.77,219,Gradient3,Original-Cheese,Card-clubs,Pitchfork,Doinker-sad,Not-Super-Clever,Argentina,Sombrero
2024,129.81,779,Solid-Pink,Original-Cheese,Apple-green,Middle-finger,Closed-mouth,Shut-2,Puerto-Rico,
2025,120.23,860,Solid-Pink,Blue-Cheese,Heart,Gun-red,Happy-open,Shut-2,wingsBlue,Sombrero
2026,98.32,1005,Solid-Yellow,Cheese-on-a-Stick,Baseball,Gun-red,Smile,Regular,,Irish
2027,124.82,825,Solid-Pink,Cheese-on-a-Stick,Baseball,Middle-finger,Closed-mouth,Regular,,Stovepipe
2028,120.19,861,Solid-Blue,Original-Cheese,Card-diamonds,Gun-red,Open-mouth,Crying,,Sombrero
2029,172.25,496,Solid-Pink,Original-Cheese,Card-clubs,Baseball-bat,Not-amused,Crying,Jetpack-Green,Messy-hair
2030,168.55,517,Solid-Pink,Blue-Cheese,Soda-can,Rupee-Red,Closed-mouth,Regular,Sweden,Joker
2031,289.47,140,Solid-Yellow,Original-Cheese,Baseball,Baseball-bat,Mustache,Sunglasses,Jetpack-Blue,Chef
2032,291.62,134,Solid-Yellow,Original-Cheese,Card-diamonds,Pitchfork,Tongue,Looking-Up-Right,wingsPink,Cap-propeller
2033,89.04,1049,Solid-Blue,Original-Cheese,,Gun-red,Doinker,Regular,,Agent-black
2034,79.66,1074,Solid-Green,Original-Cheese,,Pitchfork,Closed-mouth,Regular,Denmark,
2035,71.46,1090,Solid-Pink,Original-Cheese,,Sword-kid,Doinker-happy,Regular,,Horns
2036,122.97,843,Solid-Green,Original-Cheese,Soft-drink,Magic-mushroom,Smile,Happy,South-Africa,
2037,118.88,872,Solid-Pink,Original-Cheese,,Sword-kid,Closed-mouth,Looking-Down-Right,wingsBlue,Sombrero
2038,360.92,66,Solid-Blue,Original-Cheese,Apple-worm,Rupee-Blue,Doinker-sad,Looking-Up-Left,Fork,Flower
2039,199.74,364,Solid-Pink,Original-Cheese,Fries,Scythe,Happy-open,Regular,Bomb-bag,Cap-reversed
2040,141.61,689,Solid-Yellow,Strong-Cheese,Card-clubs,,Smirk,Shut-2,Sweden,Irish
2041,124.4,828,Solid-Blue,Original-Cheese,Fries,Rupee-Green,Sad-mouth,Regular,Australia,Horns
2042,162.42,548,Solid-Blue,Original-Cheese,Card-diamonds,Axe,Doinker,Looking-Down-Right,Puerto-Rico,Irish
2043,119.35,867,Solid-Green,Original-Cheese,Heart,Axe,Smile,Shut-1,Sweden,
2044,125.03,822,Solid-Green,Original-Cheese,Shield-tower,Torch,Smile,Shut-3,wingsBlue,Police-hat
2045,129.2,782,Solid-Pink,Original-Cheese,Soda-can,Spatula,Sad-mouth,Sunglasses,Bomb-bag,Straw-hat
2046,271.99,167,Solid-Blue,Original-Cheese,Shield-tower,Spatula,Closed-mouth,Out-cold,Puerto-Rico,Axe-in-skull
2047,237.31,234,Solid-Yellow,Original-Cheese,Shield-tower,Magic-mushroom,Closed-mouth,Disapproval-Right,Denmark,Irish
2048,428,34,Solid-Black,Strong-Cheese,Card-clubs,Gun-bubbles,Doinker-happy,Shut-1,Denmark,Cap
2049,254.69,198,Solid-Yellow,Pickled-Cheese,Card-diamonds,Magic-mushroom,Not-amused,Regular,,Irish
2050,314.09,109,Solid-Pink,Original-Cheese,Diamond,Gun-red,Closed-mouth,Not-Super-Clever,South-Africa,Police-hat
2051,298.09,123,Gradient3,Blue-Cheese,Fries,Coin,Doinker,Not-Super-Clever,China,Stovepipe
2052,179.91,455,Solid-Green,Strong-Cheese,Baseball,Spatula,Doinker-sad,Robin,Japan,Side-cut
2053,400.81,44,Solid-Pink,Original-Cheese,Card-spades,Rupee-Green,Doinker,Sunglasses,Netherlands,Cap-reversed
2054,130.25,774,Solid-Blue,Original-Cheese,,Torch,Closed-mouth,Regular,Malaysia,Unicorn
2055,186.9,423,Solid-Pink,Original-Cheese,Apple-red,Scythe,Doinker-happy,Not-Super-Clever,South-Africa,
2056,132.68,762,Solid-Green,Strong-Cheese,Soft-drink,Nemo,Doinker-sad,Shut-3,,Oriental-hat
2057,223.26,277,Solid-Green,Strong-Cheese,,Gun-red,Happy-open,Puppy-eyes,Brazil,Beret
2058,171.9,497,Solid-Yellow,Original-Cheese,Soft-drink,Spatula,Not-amused,Shut-4,Jetpack-Green,Headband
2059,115.34,897,Solid-Pink,Original-Cheese,Drink-orange,Balloons,Doinker-happy,Shut-3,El-Salvador,
2060,151.53,626,Solid-Blue,Original-Cheese,,Rupee-Blue,Happy-open,Round-glasses,Netherlands,
2061,365.78,64,Solid-Yellow,Cheese-on-a-Stick,Soft-drink,Katana,Surgical-mask,Sunglasses,Norway,
2062,252.13,207,Solid-Blue,Original-Cheese,Drink-red,Rupee-Blue,Doinker-happy,Regular,Jetpack-Orange,
2063,154.17,604,Solid-Yellow,Strong-Cheese,Shield-tower,Middle-finger,Smile,Regular,Fork,Cowboy
2064,215.45,313,Solid-Pink,Blue-Cheese,Card-diamonds,Ice-cream,Smile,Shut-2,Jetpack-Green,Horns
2065,286.99,146,Gradient3,Strong-Cheese,SNES-controller,Baseball-bat,Not-amused,Shut-4,China,Cowboy
2066,95.19,1021,Solid-Pink,Original-Cheese,Card-clubs,,Happy-open,Dilated,,Straw-hat
2067,129.45,780,Solid-Pink,Original-Cheese,Bow,Gun-red,Closed-mouth,Crying,,Sombrero
2068,126.36,808,Solid-Yellow,Original-Cheese,Card-hearts,Pitchfork,Doinker,Not-Super-Clever,wingsPink,Halo-silver
2069,187.96,414,Gradient4,Original-Cheese,Fries,,Smile,Crying,Turkey,
2070,84.24,1068,Solid-Blue,Original-Cheese,SNES-controller,Pitchfork,Closed-mouth,Not-Super-Clever,,Joker
2071,223.47,276,Solid-Blue,Original-Cheese,Bible,Balloons,Doinker-sad,Happy,Australia,Oriental-hat
2072,173.31,488,Solid-Green,Original-Cheese,Heart,Rupee-Blue,Not-amused,Crossed-2,Bomb-bag,Cowboy
2073,184.22,440,Solid-Yellow,Original-Cheese,Heart,Spatula,Closed-mouth,Dilated,Jetpack-Horizontal,Horns
2074,138.37,714,Solid-Blue,Original-Cheese,Card-clubs,Magic-mushroom,Not-amused,Shut-4,Belgium,Cowboy
2075,238.44,229,Solid-Pink,Original-Cheese,Drink-orange,Gun-red,Closed-mouth,Dilated,South-Africa,Cap-propeller
2076,112.72,917,Solid-Yellow,Original-Cheese,,Rupee-Blue,Doinker-happy,Not-Super-Clever,Russia,Sombrero
2077,188.45,410,Solid-Green,Original-Cheese,Baseball,Ice-cream,Closed-mouth,Shut-2,Denmark,Pink-punk
2078,190.18,406,Solid-Pink,Original-Cheese,SNES-controller,Spatula,Doinker-happy,Tall,Kid-amused,Beret
2079,316.17,105,Solid-Black,Original-Cheese,,Nemo,Closed-mouth,Happy,Canada,Unicorn
2080,89.51,1048,Solid-Yellow,Strong-Cheese,,,Smile,Regular,Denmark,Sombrero
2081,127.17,803,Solid-Yellow,Original-Cheese,Shield-tower,Rupee-Red,Doinker-happy,Happy,,Cowboy
2082,283.38,154,Solid-Green,Original-Cheese,Soft-drink,Nemo,Tongue,Disapproval-Right,,Flower
2083,215.09,315,Solid-Yellow,Original-Cheese,Baseball,Torch,Doinker,Robin,Fork,Pink-punk
2084,102.32,986,Solid-Pink,Original-Cheese,Soft-drink,Rupee-Green,Doinker-happy,Regular,Bomb-bag,Police-hat
2085,158.78,576,Solid-Pink,Original-Cheese,Card-hearts,Spatula,Closed-mouth,Out-cold,,Flower
2086,174.9,477,Solid-Yellow,Original-Cheese,,Coin,Doinker-happy,Crossed-2,Sweden,
2087,211.94,328,Solid-Pink,Original-Cheese,Soft-drink,Rupee-Green,Not-amused,Robin,Netherlands,Side-cut
2088,139.41,706,Solid-Yellow,Original-Cheese,SNES-controller,Baseball-bat,Smile,Not-Super-Clever,Germany,Irish
2089,235.9,240,Solid-Blue,Cheese-on-a-Stick,Shield-tower,Rupee-Green,Smirk,Dilated,Argentina,Crown
2090,75.68,1079,Solid-Blue,Original-Cheese,Soda-can,Spatula,Doinker-happy,Not-Super-Clever,Bomb-bag,
2091,174.4,479,Solid-Pink,Original-Cheese,Soda-can,Baseball-bat,Open-mouth,Sunglasses,Argentina,Messy-hair
2092,176.6,470,Solid-Pink,Blue-Cheese,Shield-tower,Rupee-Green,Closed-mouth,Shut-2,USA,Beret
2093,254.57,199,Solid-Pink,Original-Cheese,Apple-green,Gun-red,Open-mouth,Looking-Down-Right,Jetpack-Green,Cap-reversed
2094,249.61,211,Solid-Green,Original-Cheese,Bow,Axe,Happy-open,Eye-patch,Jetpack-Orange,Police-hat
2095,129.36,781,Solid-Blue,Original-Cheese,Card-clubs,Gun-red,Closed-mouth,Happy,Malaysia,Cowboy
2096,276.52,161,Solid-Blue,Original-Cheese,Diploma,Magic-mushroom,Doinker-happy,Disapproval-Right,,
2097,98.74,1003,Solid-Blue,Original-Cheese,,Coin,Doinker-sad,Regular,Italy,
2098,145.96,660,Solid-Pink,Original-Cheese,Apple-green,Balloons,Sad-mouth,Regular,Kid-amused,Sombrero
2099,227.87,265,Solid-Yellow,Blue-Cheese,Bible,Axe,Doinker,Crossed-2,,
2100,70.23,1092,Solid-Blue,Original-Cheese,Shield-tower,Axe,Doinker-sad,Happy,,
2101,205.11,346,Gradient4,Original-Cheese,Apple-green,Baseball-bat,Doinker-sad,Looking-Down-Right,,Police-hat
2102,118.9,871,Solid-Yellow,Original-Cheese,Shield-tower,Rupee-Blue,Happy-open,Happy,Denmark,Irish
2103,109.4,938,Solid-Yellow,Original-Cheese,,Balloons,Smile,Shut-1,El-Salvador,
2104,123.7,835,Solid-Blue,Original-Cheese,Shield-tower,Balloons,Closed-mouth,Regular,Puerto-Rico,Headband
2105,78.34,1077,Solid-Yellow,Original-Cheese,,Axe,Not-amused,Not-Super-Clever,,Joker
2106,158.04,581,Solid-Blue,Original-Cheese,Bow,Pitchfork,Closed-mouth,Looking-Up-Left,USA,
2107,125.56,818,Solid-Yellow,Original-Cheese,Baseball,Spatula,Sad-mouth,Shut-1,Jetpack-Orange,Cowboy
2108,1221.55,6,Solid-Green,Original-Cheese,,Rupee-Gold,Closed-mouth,Happy,Jetpack-Horizontal,
2109,111.9,924,Solid-Blue,Original-Cheese,Apple-green,Spatula,Doinker-sad,Happy,Italy,Joker
2110,193.33,393,Solid-Blue,Original-Cheese,Fries,Coin,Mustache,Happy,Norway,Side-cut
2111,142.37,684,Solid-Blue,Original-Cheese,Baseball,Rupee-Green,Doinker-sad,Not-Super-Clever,Netherlands,Flower
2112,184.75,435,Solid-Yellow,Original-Cheese,Shield-tower,Rupee-Blue,Smirk,Regular,Kid-bored,Joker
2113,404.18,42,Gradient1,Blue-Cheese,Nipples,Magic-mushroom,Doinker-sad,Looking-Down-Left,,Joker
2114,95.54,1015,Solid-Yellow,Original-Cheese,Soft-drink,,Closed-mouth,Regular,,Agent-brown
2115,292.82,130,Solid-Green,Blue-Cheese,Apple-green,Rupee-Red,Happy-open,Tall,China,Chef
2116,115.67,892,Solid-Yellow,Original-Cheese,Apple-green,Nemo,Doinker,Happy,Belgium,Sombrero
2117,320.14,96,Solid-Blue,Original-Cheese,SNES-controller,Middle-finger,Pacifier-green,Disapproval-Left,,Irish
2118,211.79,329,Solid-Pink,Blue-Cheese,Card-clubs,Rupee-Blue,Sad-mouth,Looking-Up-Right,South-Africa,Agent-black
2119,154.07,606,Solid-Blue,Original-Cheese,Drink-orange,Pitchfork,Doinker-happy,Out-cold,Australia,
2120,142.04,687,Solid-Blue,Original-Cheese,Shield-tower,Gun-red,Smile,Happy,Norway,Headband
2121,314.2,108,Solid-Green,Pickled-Cheese,Diploma,,Happy-open,Not-Super-Clever,Jetpack-Orange,
2122,180.27,449,Solid-Pink,Cheese-on-a-Stick,Soda-can,Gun-red,Closed-mouth,Dilated,Norway,Police-hat
2123,125.88,813,Solid-Pink,Strong-Cheese,Baseball,Rupee-Green,Closed-mouth,Tall,Australia,Cowboy
2124,406.23,41,Solid-Green,Original-Cheese,Heart,Rupee-Purple,Not-amused,Crossed-2,Singapore,Side-cut
3001,202.62,359,Solid-Yellow,Original-Cheese,Heart,Middle-finger,Open-mouth,Crossed-2,Turkey,Side-cut
3002,85.12,1062,Solid-Green,Original-Cheese,Apple-green,Rupee-Green,Doinker-happy,Regular,wingsBlue,Sombrero
3003,124.67,826,Solid-Green,Strong-Cheese,Soft-drink,Sword-kid,Happy-open,Round-glasses,,Halo-silver
3004,186.12,430,Solid-Green,Original-Cheese,SNES-controller,Torch,Smirk,Tall,Brazil,Beret
3005,85.45,1061,Solid-Yellow,Original-Cheese,Drink-orange,Sword-kid,Doinker-happy,Happy,,Joker
3006,195.28,386,Solid-Pink,Original-Cheese,Apple-red,,Doinker-happy,Round-glasses,Netherlands,Straw-hat
3007,97.18,1008,Solid-Green,Original-Cheese,Baseball,Torch,Doinker-happy,Happy,wingsPink,Side-cut
3008,197.07,378,Solid-Blue,Original-Cheese,Baseball,Nemo,Closed-mouth,Eye-patch,Denmark,
3009,119.66,865,Solid-Pink,Original-Cheese,Baseball,Baseball-bat,Smile,Looking-Down-Right,,Side-cut
3010,266.07,177,Solid-Yellow,Original-Cheese,Shield-rainbow,Pitchfork,Closed-mouth,Looking-Up-Right,,Cap
3011,131.08,772,Solid-Pink,Original-Cheese,Apple-green,Torch,Sad-mouth,Not-Super-Clever,Bomb-bag,Cap
3012,174.46,478,Solid-Pink,Original-Cheese,Soft-drink,Gun-red,Sad-mouth,Regular,South-Africa,Beret
3013,197.06,380,Gradient4,Original-Cheese,Soft-drink,Sword-kid,Doinker-sad,Happy,Italy,Messy-hair
3014,142.18,685,Solid-Yellow,Cheese-on-a-Stick,Heart,,Smirk,Happy,wingsPink,Beret
3015,131.64,769,Solid-Blue,Original-Cheese,Card-diamonds,Torch,Closed-mouth,Regular,Fork,Cowboy
3016,130.28,773,Solid-Blue,Original-Cheese,Card-diamonds,Gun-red,Doinker-happy,Not-Super-Clever,Canada,Cowboy
3017,186.98,421,Solid-Blue,Original-Cheese,Soda-can,Spatula,Not-amused,Regular,Russia,Crown
3018,284.5,150,Solid-Blue,Original-Cheese,Bow,Sword-kid,Sad-mouth,Shut-2,Sweden,Axe-in-skull
3019,144.2,674,Solid-Blue,Original-Cheese,,Gun-red,Smirk,Shut-3,Australia,Agent-black
3020,178.71,458,Solid-Yellow,Original-Cheese,Drink-blue,Rupee-Blue,Closed-mouth,Round-glasses,Puerto-Rico,Sombrero
3021,195.15,388,Solid-Blue,Strong-Cheese,Card-clubs,Gun-bubbles,Doinker-sad,Regular,,Unicorn
3022,186.3,428,Solid-Pink,Blue-Cheese,Heart,Middle-finger,Smile,Not-Super-Clever,Argentina,Cap
3023,218.76,300,Solid-Yellow,Original-Cheese,,,Doinker-sad,Eye-patch,European-Union,Horns
3024,216.24,308,Solid-Pink,Strong-Cheese,Fries,Magic-mushroom,Smile,Regular,European-Union,Cap-reversed
3025,231.25,253,Gradient5,Original-Cheese,Card-clubs,Rupee-Green,Tongue,Shut-3,Jetpack-Orange,Irish
3026,96.89,1009,Solid-Pink,Original-Cheese,,Magic-mushroom,Doinker,Regular,Germany,
3027,147.77,650,Solid-Yellow,Blue-Cheese,SNES-controller,Rupee-Blue,Doinker-happy,Happy,China,Straw-hat
3028,204.7,350,Gradient4,Original-Cheese,,Torch,Closed-mouth,Looking-Down-Left,Belgium,Halo-silver
3029,115.95,890,Solid-Pink,Original-Cheese,,,Doinker,Looking-Down-Right,Jetpack-Orange,Irish
3030,186.38,427,Solid-Pink,Original-Cheese,Fries,Baseball-bat,Open-mouth,Regular,Malaysia,Pink-punk
3031,119.55,866,Solid-Blue,Original-Cheese,Fries,,Doinker-happy,Happy,Canada,Sombrero
3032,199.13,367,Solid-Blue,Blue-Cheese,Apple-red,Torch,Closed-mouth,Shut-3,Kid-amused,Cowboy
3033,150.01,638,Solid-Blue,Original-Cheese,Fries,Spatula,Doinker,Sunglasses,El-Salvador,Side-cut
3034,212.91,326,Solid-Green,Original-Cheese,Bow,Sword-kid,Doinker,Shut-3,Puerto-Rico,Beret
3035,140.86,696,Solid-Green,Original-Cheese,Drink-orange,Rupee-Red,Doinker,Happy,Jetpack-Orange,Joker
3036,386.52,50,Solid-Pink,Strong-Cheese,Shield-rainbow,Gun-green,Doinker,Round-glasses,Sweden,Messy-hair
3037,93.1,1030,Solid-Green,Original-Cheese,Heart,,Doinker,Regular,Sweden,
3038,161.85,554,Solid-Green,Original-Cheese,SNES-controller,Rupee-Green,Closed-mouth,Happy,Germany,Beret
3039,374.07,56,Solid-Pink,Original-Cheese,Shield-tower,Rupee-Red,Happy-super,Disapproval-Left,Kid-bored,Irish
3040,286.08,148,Solid-Blue,Original-Cheese,Card-hearts,Nemo,Smirk,Neanderthal,Great-Britain,
3041,203.08,357,Solid-Pink,Original-Cheese,Bow,Sword-kid,Open-mouth,Crossed-1,,
3042,539.72,19,Solid-Pink,Cheese-on-a-Stick,SNES-controller,Scythe,Smile,BTC,Bomb-bag,Beret
3043,243.55,220,Solid-Green,Original-Cheese,Card-diamonds,Donut,Closed-mouth,Looking-Up-Left,Belgium,Irish
3044,214.72,318,Solid-Green,Original-Cheese,Soda-can,Spatula,Happy-super,Not-Super-Clever,Great-Britain,Flower
3045,187.16,417,Solid-Yellow,Original-Cheese,Card-clubs,Baseball-bat,Smile,Out-cold,Sweden,Side-cut
3046,496.01,24,Solid-Green,Original-Cheese,Soft-drink,Middle-finger,Closed-mouth,Termination,Norway,Straw-hat
3047,74.06,1081,Solid-Blue,Original-Cheese,Baseball,Torch,Doinker-sad,Regular,Bomb-bag,
3048,617.64,15,Solid-Yellow,Strong-Cheese,Card-diamonds,Coin,Doinker,BTC,rainbowRoad,Headband
3049,186.51,426,Gradient5,Strong-Cheese,Soft-drink,Coin,Doinker-sad,Regular,Canada,Halo-silver
3050,427.13,35,Solid-Yellow,Original-Cheese,,Coin,Happy-open,Termination,,
3051,157.35,587,Solid-Pink,Original-Cheese,Soft-drink,Pitchfork,Doinker-happy,Not-Super-Clever,Norway,Beret
3052,115.41,896,Solid-Blue,Blue-Cheese,Baseball,Spatula,Doinker,Shut-4,,Irish
3053,237.91,233,Solid-Blue,Blue-Cheese,Baseball,Rupee-Blue,Smile,Deal-with-it,wingsBlue,Sombrero
3054,567.11,16,Solid-Yellow,Blue-Cheese,Card-diamonds,Sword-adult,Doinker,Crossed-1,China,Joker
3055,311.38,110,Solid-Yellow,Original-Cheese,Nipples,Gun-red,Doinker-happy,Regular,Denmark,Irish
3056,494.73,25,Solid-Yellow,Original-Cheese,Fries,Rupee-Purple,Smile,Stoned,Malaysia,Irish
3057,92.94,1035,Solid-Blue,Original-Cheese,Heart,Nemo,Happy-open,Regular,wingsBlue,Joker
3058,126.01,812,Solid-Green,Original-Cheese,Soft-drink,,Doinker-happy,Crying,Canada,Side-cut
3059,190.94,401,Solid-Green,Original-Cheese,Soda-can,Sword-kid,Doinker-happy,Looking-Down-Right,Jetpack-Blue,Cap
3060,74.31,1080,Solid-Pink,Original-Cheese,,Pitchfork,Doinker-happy,Happy,,Straw-hat
3061,168.71,516,Gradient1,Original-Cheese,Card-clubs,,Closed-mouth,Shut-4,wingsBlue,Flower
3062,170.88,503,Solid-Blue,Blue-Cheese,,Spatula,Doinker-sad,Out-cold,,Stovepipe
3063,166.32,528,Solid-Green,Strong-Cheese,Heart,Pitchfork,Happy-open,Looking-Down-Right,Bomb-bag,Agent-brown
3064,163.5,541,Solid-Pink,Blue-Cheese,Bow,Axe,Doinker-happy,Regular,New-Zealand,Headband
3065,104.65,971,Solid-Yellow,Original-Cheese,Fries,Torch,Smile,Shut-1,,Headband
3066,91.55,1038,Solid-Green,Original-Cheese,,Gun-red,Smile,Shut-1,,Messy-hair
3067,236.27,238,Solid-Pink,Cheese-on-a-Stick,Apple-green,,Surgical-mask,Sunglasses,China,Sombrero
3068,158.28,580,Solid-Yellow,Original-Cheese,Soft-drink,Sword-kid,Doinker,Disapproval-Left,,Cowboy
3069,157.37,586,Solid-Blue,Strong-Cheese,,Middle-finger,Doinker-sad,Looking-Down-Left,New-Zealand,Horns
3070,198.6,369,Gradient4,Original-Cheese,Card-diamonds,Pitchfork,Closed-mouth,Not-Super-Clever,Japan,Irish
3071,151.41,627,Solid-Yellow,Original-Cheese,Card-hearts,Middle-finger,Happy-open,Not-Super-Clever,Japan,Straw-hat
3072,285.06,149,Solid-Pink,Strong-Cheese,Diamond,Magic-mushroom,Doinker-happy,Regular,Puerto-Rico,Horns
3073,272.35,166,Solid-Blue,Original-Cheese,Card-spades,Axe,Not-amused,Regular,Bomb-bag,Messy-hair
3074,256.67,195,Solid-Green,Original-Cheese,Bible,Nemo,Happy-open,Disapproval-Left,wingsBlue,Headband
3075,169.23,512,Solid-Blue,Original-Cheese,Soda-can,Ice-cream,Closed-mouth,Looking-Down-Right,wingsPink,Straw-hat
3076,134.76,742,Solid-Pink,Original-Cheese,SNES-controller,Baseball-bat,Doinker-happy,Tall,Germany,
3077,345.34,75,Solid-Green,Blue-Cheese,Baseball,Donut,Mustache,Sunglasses,Norway,Agent-brown
3078,131.77,766,Solid-Pink,Original-Cheese,Soda-can,Spatula,Smile,Shut-1,Japan,Side-cut
3079,307.89,115,Solid-Pink,Original-Cheese,Fries,Rupee-Blue,Happy-open,Wizard,Puerto-Rico,Side-cut
3080,117.58,879,Solid-Green,Strong-Cheese,Soda-can,Axe,Doinker-happy,Regular,Jetpack-Blue,Side-cut
3081,79.3,1075,Solid-Pink,Original-Cheese,Heart,Rupee-Blue,Doinker,Not-Super-Clever,,Flower
3082,195.32,385,Solid-Pink,Strong-Cheese,Card-diamonds,Rupee-Green,Smirk,Great-thinker,Turkey,Joker
3083,190.83,403,Solid-Green,Blue-Cheese,Baseball,Torch,Happy-open,Regular,wingsBlue,Axe-in-skull
3084,121.71,853,Solid-Yellow,Original-Cheese,Heart,Rupee-Blue,Doinker,Shut-1,China,
3085,177.28,465,Solid-Pink,Original-Cheese,Soda-can,Baseball-bat,Doinker-happy,Crossed-2,,Agent-brown
3086,145.05,667,Solid-Yellow,Original-Cheese,Soft-drink,Balloons,Closed-mouth,Looking-Down-Right,Italy,Straw-hat
3087,141.14,692,Solid-Blue,Original-Cheese,Apple-green,Rupee-Green,Doinker,Happy,Australia,Beret
3088,134.43,747,Solid-Green,Original-Cheese,Drink-orange,Spatula,Open-mouth,Regular,China,Straw-hat
3089,309.2,111,Solid-Yellow,Original-Cheese,Card-hearts,Rupee-Blue,Doinker-sad,Eye-patch,wingsBlue,Viking
3090,125.51,819,Solid-Blue,Original-Cheese,SNES-controller,Scythe,Happy-open,Happy,,Side-cut
3091,308.97,112,Gradient5,Blue-Cheese,Diploma,Balloons,Mustache,Happy,Jetpack-Blue,Cowboy
3092,112.48,919,Solid-Pink,Original-Cheese,,Torch,Smile,Regular,Singapore,Flower
3093,120.03,863,Solid-Pink,Original-Cheese,SNES-controller,,Closed-mouth,Not-Super-Clever,El-Salvador,Police-hat
3094,175.37,475,Solid-Pink,Original-Cheese,Fries,Nemo,Doinker,Looking-Down-Right,Sweden,Halo-silver
3095,90.01,1047,Solid-Blue,Original-Cheese,,Scythe,Doinker-sad,Not-Super-Clever,,
3096,231,254,Solid-Pink,Blue-Cheese,Soda-can,Spatula,Closed-mouth,Great-thinker,Singapore,Beret
3097,150.84,635,Solid-Pink,Original-Cheese,Card-clubs,Rupee-Red,Closed-mouth,Looking-Down-Left,,Cowboy
3098,290.06,139,Solid-Blue,Original-Cheese,Teddy,Donut,Closed-mouth,Not-Super-Clever,,Police-hat
3099,188.3,412,Solid-Pink,Original-Cheese,Apple-red,,Happy-open,Shut-2,Bomb-bag,Crown
3100,265.17,178,Solid-Yellow,Strong-Cheese,Teddy,,Closed-mouth,Looking-Up-Right,wingsBlue,Crown
3101,211.73,330,Solid-Blue,Original-Cheese,Drink-orange,Rupee-Blue,Pacifier-pink,Looking-Up-Left,Singapore,Oriental-hat
3102,140.65,698,Solid-Yellow,Blue-Cheese,Soft-drink,Axe,Smile,Looking-Down-Right,wingsBlue,Straw-hat
3103,220.61,292,Gradient2,Original-Cheese,,Pitchfork,Doinker,Regular,Turkey,Straw-hat
3104,102.34,985,Solid-Green,Original-Cheese,,Rupee-Green,Happy-open,Shut-2,wingsBlue,Headband
3105,129.13,784,Solid-Yellow,Original-Cheese,Apple-green,Torch,Smile,Shut-3,Norway,
3106,125.67,817,Solid-Blue,Original-Cheese,Soft-drink,Baseball-bat,Closed-mouth,Crying,Australia,Cowboy
3107,129.96,777,Solid-Yellow,Strong-Cheese,Card-clubs,Balloons,Smile,Not-Super-Clever,Canada,Side-cut
3108,147.74,651,Solid-Blue,Original-Cheese,Card-clubs,Rupee-Green,Doinker-happy,Looking-Up-Right,Jetpack-Blue,Joker
3109,128.89,787,Solid-Pink,Original-Cheese,Drink-orange,Nemo,Doinker-sad,Regular,Denmark,Unicorn
3110,160.68,563,Solid-Pink,Original-Cheese,,Sword-kid,Smile,Regular,Kid-amused,Oriental-hat
3111,83.17,1070,Solid-Yellow,Original-Cheese,Card-clubs,,Smile,Not-Super-Clever,wingsBlue,Irish
3112,444.71,32,Solid-Yellow,Magic-Mold-Cheese,Drink-blue,Spatula,Sad-mouth,Regular,Turkey,Unicorn
3113,112.96,914,Solid-Blue,Cheese-on-a-Stick,Drink-orange,,Smirk,Not-Super-Clever,wingsPink,Halo-silver
4001,134.47,746,Solid-Yellow,Original-Cheese,Heart,Axe,Happy-open,Dilated,Belgium,Halo-silver
4002,411.37,40,Solid-Yellow,Strong-Cheese,Card-clubs,Spatula,Bubble-gum,Crossed-2,,Horns
4003,85.81,1059,Solid-Blue,Original-Cheese,Soda-can,,Closed-mouth,Looking-Up-Left,,Side-cut
4004,175.68,473,Solid-Green,Original-Cheese,Diploma,Middle-finger,Doinker-happy,Not-Super-Clever,,Straw-hat
